ID_NEWLAND,Area(ha),D_Co2_T/ha,O_SOC_Tm/h,O_Tre_Tm/h,O_Co2_Tot,B_Co2_%,O_PBF_Tm/h,O_Liv_Tm/h,O_NPP_TOT,D_PBF_Tm/h,D_Liv_Tm/h,D_NPP_TOT,B_NPP_%,x_coord,y_coord
"215","1.0470654010","114.201","0.028745055198669","0.000","0.030","0.000251","16.433739","0.000000","17.207200","3.071800","0.000","3.216380","5.3499","528470.1303","4752400.0170"
"217","14.5312083000","114.201","0.028773342057278","0.000","0.418","0.000252","7.777178","0.000000","113.011800","3.071800","0.000","44.636970","2.5318","529955.6889","4752118.6170"
"220","2.3047644090","114.201","0.029003677027566","0.000","0.067","0.000255","8.819296","0.000000","20.326400","3.071800","0.000","7.079780","2.8710","530652.9646","4752289.7850"
"221","1.1426031260","114.201","0.029002377192179","0.000","0.033","0.000253","9.863792","0.000000","11.270400","3.071800","0.000","3.509850","3.2111","526885.8162","4752402.2380"
"226","0.8133031910","114.201","0.028668869137764","0.000","0.023","0.000248","7.895702","0.000000","6.421600","3.071800","0.000","2.498300","2.5704","527476.7400","4752362.0840"
"229","0.3638482110","114.201","0.029024380445480","0.000","0.011","0.000265","13.663390","0.000000","4.971400","3.071800","0.000","1.117670","4.4480","526768.9841","4752410.6530"
"230","3.3872474490","114.201","0.028731790440423","0.000","0.097","0.000251","8.008036","0.000000","27.125200","3.071800","0.000","10.404950","2.6070","527573.2996","4752331.8970"
"231","0.1060839970","114.201","0.029298722743988","0.000","0.003","0.000248","21.530109","0.000000","2.284000","3.071800","0.000","0.325870","7.0089","530909.3035","4752413.5560"
"233","1.5501814460","114.201","0.028869594732920","0.000","0.045","0.000254","8.743235","0.000000","13.553600","3.071800","0.000","4.761850","2.8463","526652.7566","4752375.3160"
"234","0.5402746300","114.201","0.028820986151695","0.000","0.016","0.000259","17.799836","0.000000","9.616800","3.071800","0.000","1.659620","5.7946","527136.5880","4752381.8890"
"235","0.1914490250","114.201","0.028843143426130","0.000","0.006","0.000274","8.948596","0.000000","1.713200","3.071800","0.000","0.588090","2.9132","526554.0988","4752351.6980"
"236","2.9485472460","114.201","0.028742399613063","0.000","0.085","0.000252","9.051373","0.000000","26.688400","3.071800","0.000","9.057350","2.9466","527701.1834","4752306.9400"
"237","1.7433546020","114.201","0.028763908147812","0.000","0.050","0.000251","7.854455","0.000000","13.693100","3.071800","0.000","5.355240","2.5570","528805.0451","4752371.5100"
"246","0.2291977800","114.201","0.028995251754316","0.000","0.007","0.000267","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","530590.8906","4752325.7810"
"247","3.0395765190","114.201","0.028818764005389","0.000","0.088","0.000254","8.115736","0.000000","24.668400","3.071800","0.000","9.336970","2.6420","530171.7910","4752253.4380"
"248","0.3151389070","114.201","0.029033286571503","0.000","0.009","0.000250","16.569836","0.000000","5.221800","3.071800","0.000","0.968040","5.3942","526768.7016","4752366.8160"
"252","4.6175967490","114.201","0.028900968233744","0.000","0.134","0.000254","7.933997","0.000000","36.636000","3.071800","0.000","14.184330","2.5829","530497.4584","4752203.9850"
"253","0.3160845270","114.201","0.029964368343353","0.000","0.010","0.000277","11.181186","0.000000","3.534200","3.071800","0.000","0.970950","3.6399","531045.0388","4752308.8760"
"254","2.8662554530","114.201","0.029917928088795","0.000","0.086","0.000263","8.357176","0.000000","23.953800","3.071800","0.000","8.804560","2.7206","531020.7092","4752242.4880"
"255","1.0803690860","114.201","0.034698648452759","16.309","17.658","0.143120","0.000000","1.853800","2.001200","0.000000","14.735","15.907000","0.1258","517621.7817","4752284.6390"
"257","2.1410696270","114.201","0.034874876226698","8.967","19.275","0.078830","0.000000","1.568600","3.355822","0.000000","12.469","26.675000","0.1258","517480.1675","4752186.3570"
"259","4.8080831390","114.201","0.028814360830519","0.000","0.139","0.000253","47.413926","0.000000","227.970100","3.071800","0.000","14.769470","15.4352","528295.0920","4752246.9570"
"262","1.1676780550","114.201","0.029047953128815","0.000","0.034","0.000255","8.536771","0.000000","9.968200","3.071800","0.000","3.586870","2.7791","526862.9531","4752214.0010"
"263","1.7800247030","114.201","0.029040140628815","0.000","0.052","0.000256","10.677155","0.000000","19.005600","3.071800","0.000","5.467880","3.4759","526912.9454","4752207.7090"
"264","1.4542340450","114.201","0.029017709732056","0.000","0.042","0.000253","14.892032","0.000000","21.656500","3.071800","0.000","4.467120","4.8480","526816.1134","4752214.5540"
